time,VNINDEX,VCB,BID,VIC,HPG,MSN,MWG,GAS
2017-07-14 07:00:00,0.78,15.83,10.2,15.65,6.39,33.62,23.51,35.28
2017-07-17 07:00:00,0.77,15.6,9.99,15.58,6.23,32.93,23.78,34.5
2017-07-18 07:00:00,0.77,15.63,10.02,15.54,6.07,33.22,23.55,33.72
2017-07-19 07:00:00,0.77,15.56,10.07,15.43,6.03,33.22,23.53,34.84
2017-07-20 07:00:00,0.77,15.5,10.36,15.58,6.0,33.38,23.16,34.45
2017-07-21 07:00:00,0.76,15.31,10.18,15.6,5.95,33.38,22.36,33.34
2017-07-24 07:00:00,0.76,15.44,10.25,15.5,5.99,33.58,22.49,33.11
2017-07-25 07:00:00,0.77,15.44,10.84,15.43,6.06,33.7,22.72,33.61
2017-07-26 07:00:00,0.77,15.48,10.89,15.65,6.22,33.66,23.05,34.06
2017-07-27 07:00:00,0.77,15.46,10.94,15.54,6.15,33.62,22.93,33.67
2017-07-28 07:00:00,0.78,15.52,11.1,15.76,6.15,33.7,23.28,34.17
2017-07-31 07:00:00,0.78,15.63,11.74,16.35,6.12,34.67,23.16,34.78
2017-08-01 07:00:00,0.79,15.89,11.74,16.31,6.2,34.39,22.93,35.67
2017-08-02 07:00:00,0.79,15.77,11.87,16.31,6.12,34.43,22.93,35.45
2017-08-03 07:00:00,0.79,15.85,12.11,16.31,6.12,34.51,23.07,35.45
2017-08-04 07:00:00,0.79,15.75,11.84,16.37,6.06,34.63,24.55,35.0
2017-08-07 07:00:00,0.79,15.75,11.89,16.35,6.11,34.59,25.17,35.61
2017-08-08 07:00:00,0.79,15.89,11.95,16.5,6.12,34.59,24.66,35.84
2017-08-09 07:00:00,0.77,15.65,11.13,15.98,6.04,34.03,24.04,35.22
2017-08-10 07:00:00,0.77,15.6,11.07,15.87,6.06,34.43,24.25,35.0
2017-08-11 07:00:00,0.77,15.5,11.07,15.98,6.2,34.59,24.38,34.06
2017-08-14 07:00:00,0.78,15.58,11.35,15.98,6.44,35.65,24.55,34.34
2017-08-15 07:00:00,0.77,15.44,11.07,15.65,6.35,35.73,24.73,33.78
2017-08-16 07:00:00,0.77,15.52,10.91,15.72,6.49,36.13,24.75,34.61
2017-08-17 07:00:00,0.77,15.44,10.47,15.7,6.38,36.38,24.34,33.89
2017-08-18 07:00:00,0.77,15.52,10.77,15.7,6.4,36.13,24.34,33.84
2017-08-21 07:00:00,0.77,15.48,10.72,15.76,6.27,36.46,24.43,33.95
2017-08-22 07:00:00,0.76,15.27,10.45,15.72,6.3,36.46,24.22,33.72
2017-08-23 07:00:00,0.77,15.31,10.58,15.91,6.35,36.94,23.97,33.89
2017-08-24 07:00:00,0.77,15.34,10.8,16.0,6.39,37.27,24.29,34.11
2017-08-25 07:00:00,0.77,15.38,10.77,16.37,6.42,37.67,24.34,34.11
2017-08-28 07:00:00,0.78,15.5,10.72,16.72,6.52,38.08,24.41,35.0
2017-08-29 07:00:00,0.77,15.31,10.72,16.92,6.53,36.62,24.68,34.78
2017-08-30 07:00:00,0.78,15.31,10.56,18.08,6.6,37.91,25.24,34.78
2017-08-31 07:00:00,0.78,15.36,11.29,18.0,6.64,38.48,25.21,34.78
2017-09-01 07:00:00,0.79,15.5,11.48,18.15,6.65,39.05,25.21,35.28
2017-09-05 07:00:00,0.79,15.79,11.43,18.44,6.71,38.81,24.89,35.95
2017-09-06 07:00:00,0.79,15.73,11.24,18.37,6.82,38.89,24.89,36.17
2017-09-07 07:00:00,0.8,15.6,11.37,18.35,6.73,40.51,24.98,36.89
2017-09-08 07:00:00,0.8,15.6,11.1,18.59,6.81,43.1,25.24,37.39
2017-09-11 07:00:00,0.8,15.6,11.02,18.11,6.69,43.34,25.47,36.67
2017-09-12 07:00:00,0.8,15.75,11.18,18.11,6.72,44.64,25.81,36.67
2017-09-13 07:00:00,0.8,15.75,11.18,17.67,6.99,45.37,26.39,37.0
2017-09-14 07:00:00,0.81,15.85,11.26,18.06,6.96,45.61,26.39,38.34
2017-09-15 07:00:00,0.81,15.73,11.13,17.96,7.01,45.45,26.23,38.62
2017-09-18 07:00:00,0.81,15.56,11.18,18.0,7.14,45.61,26.32,38.56
2017-09-19 07:00:00,0.81,15.48,11.26,18.04,7.2,44.96,26.2,38.22
2017-09-20 07:00:00,0.81,15.65,11.18,18.0,7.18,43.59,26.27,38.22
2017-09-21 07:00:00,0.8,15.67,11.37,18.04,7.11,41.48,26.3,38.34
2017-09-22 07:00:00,0.81,15.58,11.24,18.04,7.14,42.13,26.94,38.62
2017-09-25 07:00:00,0.81,15.52,11.13,18.0,7.11,44.15,27.2,38.62
2017-09-26 07:00:00,0.81,15.58,11.13,18.15,7.09,45.29,26.99,39.18
2017-09-27 07:00:00,0.8,15.6,11.02,18.77,7.14,44.48,26.5,39.86
2017-09-28 07:00:00,0.8,15.75,10.72,18.66,7.15,45.13,26.57,39.86
2017-09-29 07:00:00,0.8,15.9,10.69,18.81,7.37,44.64,26.8,38.96
2017-10-02 07:00:00,0.8,15.92,10.75,18.74,7.4,44.8,27.03,39.18
2017-10-03 07:00:00,0.8,15.9,10.83,18.77,7.35,44.48,27.2,38.79
2017-10-04 07:00:00,0.81,16.41,10.94,19.1,7.51,44.56,27.2,39.18
2017-10-05 07:00:00,0.81,16.37,10.86,19.36,7.35,46.75,26.97,38.34
2017-10-06 07:00:00,0.81,16.51,10.88,19.32,7.36,46.26,27.08,38.22
2017-10-09 07:00:00,0.81,16.66,10.91,19.1,7.48,46.34,27.43,38.05
2017-10-10 07:00:00,0.81,16.77,10.91,19.18,7.52,46.34,28.46,37.83
2017-10-11 07:00:00,0.81,16.64,11.07,20.17,7.5,45.04,28.16,38.45
2017-10-12 07:00:00,0.82,16.51,10.99,20.2,7.49,46.42,28.35,38.84
